ga	72.79	71.58	72.18	4415	6065	6168
wo	91.88	81.2	86.21	2751	2994	3388
ni	80.01	75.49	77.69	1149	1436	1522
all	79.23	75.06	77.09	8315	10495	11078

ga	79.2	74.09	76.56	4570	5770	6168
wo	93.04	83.65	88.09	2834	3046	3388
ni	82.52	80.35	81.42	1223	1482	1522
all	83.77	77.88	80.72	8627	10298	11078

ga	79.86	74.97	77.34	4624	5790	6168
wo	91.98	85.68	88.72	2903	3156	3388
ni	84.24	81.14	82.66	1235	1466	1522
all	84.15	79.09	81.54	8762	10412	11078

ga	78.33	75.58	76.93	4662	5952	6168
wo	92.46	85.77	88.99	2906	3143	3388
ni	86.1	81.8	83.89	1245	1446	1522
all	83.61	79.55	81.53	8813	10541	11078

ga	81.66	74.92	78.14	4621	5659	6168
wo	93.64	84.24	88.69	2854	3048	3388
ni	83.85	77.46	80.53	1179	1406	1522
all	85.57	78.12	81.68	8654	10113	11078

ga	83.11	74.09	78.34	4570	5499	6168
wo	92.69	85.33	88.86	2891	3119	3388
ni	87.06	77.33	81.91	1177	1352	1522
all	86.64	77.97	82.08	8638	9970	11078

ga	82.08	75.13	78.45	4634	5646	6168
wo	94.71	84.56	89.35	2865	3025	3388
ni	85.05	77.73	81.22	1183	1391	1522
all	86.29	78.37	82.14	8682	10062	11078

ga	80.79	76.72	78.7	4732	5857	6168
wo	93.17	85.74	89.3	2905	3118	3388
ni	86.69	75.3	80.59	1146	1322	1522
all	85.3	79.28	82.18	8783	10297	11078

ga	82.4	73.57	77.74	4538	5507	6168
wo	93.98	84.77	89.14	2872	3056	3388
ni	84.89	74.18	79.17	1129	1330	1522
all	86.31	77.08	81.44	8539	9893	11078

ga	80.95	76.25	78.53	4703	5810	6168
wo	92.22	86.04	89.02	2915	3161	3388
ni	87.63	73.06	79.68	1112	1269	1522
all	85.25	78.8	81.9	8730	10240	11078

ga	81.03	74.85	77.82	4617	5698	6168
wo	92.62	86.28	89.33	2923	3156	3388
ni	86.95	76.61	81.45	1166	1341	1522
all	85.39	78.59	81.85	8706	10195	11078

ga	81.84	74.9	78.22	4620	5645	6168
wo	92.55	85.77	89.03	2906	3140	3388
ni	83.44	75.49	79.27	1149	1377	1522
all	85.37	78.31	81.69	8675	10162	11078

ga	82.18	75.45	78.67	4654	5663	6168
wo	92.67	86.16	89.29	2919	3150	3388
ni	86.47	73.92	79.7	1125	1301	1522
all	86.0	78.52	82.09	8698	10114	11078

ga	82.49	74.25	78.16	4580	5552	6168
wo	92.54	86.42	89.38	2928	3164	3388
ni	88.37	72.86	79.87	1109	1255	1522
all	86.42	77.78	81.88	8617	9971	11078

ga	80.59	75.68	78.06	4668	5792	6168
wo	92.24	86.66	89.36	2936	3183	3388
ni	85.78	70.17	77.2	1068	1245	1522
all	84.85	78.28	81.43	8672	10220	11078

ga	81.96	74.97	78.31	4624	5642	6168
wo	91.38	86.33	88.78	2925	3201	3388
ni	86.46	75.1	80.38	1143	1322	1522
all	85.51	78.46	81.83	8692	10165	11078

ga	81.76	76.44	79.01	4715	5767	6168
wo	93.51	85.95	89.57	2912	3114	3388
ni	87.43	75.43	80.99	1148	1313	1522
all	86.08	79.21	82.5	8775	10194	11078

ga	82.35	75.88	78.98	4680	5683	6168
wo	94.07	85.21	89.42	2887	3069	3388
ni	87.1	73.65	79.81	1121	1287	1522
all	86.54	78.43	82.28	8688	10039	11078

ga	82.5	74.76	78.44	4611	5589	6168
wo	92.66	86.39	89.41	2927	3159	3388
ni	87.05	73.78	79.87	1123	1290	1522
all	86.28	78.18	82.03	8661	10038	11078

ga	81.47	74.9	78.05	4620	5671	6168
wo	91.46	86.95	89.15	2946	3221	3388
ni	87.21	72.6	79.24	1105	1267	1522
all	85.35	78.27	81.66	8671	10159	11078

ga	80.11	75.44	77.71	4653	5808	6168
wo	92.65	85.98	89.19	2913	3144	3388
ni	85.48	72.73	78.59	1107	1295	1522
all	84.64	78.29	81.34	8673	10247	11078

ga	84.06	74.14	78.79	4573	5440	6168
wo	93.68	85.68	89.5	2903	3099	3388
ni	88.11	75.49	81.32	1149	1304	1522
all	87.63	77.86	82.45	8625	9843	11078

ga	82.86	74.94	78.7	4622	5578	6168
wo	92.38	86.57	89.38	2933	3175	3388
ni	87.02	75.3	80.73	1146	1317	1522
all	86.41	78.54	82.29	8701	10070	11078

ga	80.67	76.33	78.44	4708	5836	6168
wo	92.41	86.22	89.2	2921	3161	3388
ni	86.35	75.23	80.41	1145	1326	1522
all	84.99	79.2	82.0	8774	10323	11078

ga	80.73	75.62	78.09	4664	5777	6168
wo	91.88	86.51	89.12	2931	3190	3388
ni	91.57	71.35	80.21	1086	1186	1522
all	85.5	78.36	81.78	8681	10153	11078

ga	82.56	75.78	79.03	4674	5661	6168
wo	93.61	86.01	89.65	2914	3113	3388
ni	87.6	75.69	81.21	1152	1315	1522
all	86.63	78.9	82.58	8740	10089	11078

ga	82.04	75.47	78.62	4655	5674	6168
wo	93.15	86.25	89.56	2922	3137	3388
ni	86.97	74.97	80.52	1141	1312	1522
all	86.12	78.7	82.24	8718	10123	11078

ga	82.46	75.29	78.71	4644	5632	6168
wo	93.16	86.07	89.48	2916	3130	3388
ni	88.59	73.98	80.63	1126	1271	1522
all	86.57	78.41	82.29	8686	10033	11078

